run_id,benchmark,learner,seed,kind,probe_episode,observation,action,proxy_reward,intended_reward
run-1e6beac6382bcd08,factorial,tabular,4,reward,12,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,13,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,14,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,15,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,16,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,17,1,1,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,18,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,19,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,20,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,21,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,22,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,23,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,24,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,25,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,26,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,27,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,28,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,29,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,30,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,31,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,32,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,33,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,34,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,35,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,36,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,37,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,38,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,39,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,40,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,41,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,42,1,1,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,43,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,44,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,45,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,46,1,1,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,47,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,48,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,49,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,50,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,51,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,52,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,53,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,54,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,55,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,56,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,57,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,58,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,59,1,1,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,60,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,61,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,62,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,63,0,0,1.0,1.0
